,SP500_Price,FEDFUNDS,US_Inflation,GDP growth,CCI Rate
2015-01-31,"1,995.00",0.11,-0.1,2.706369582,102.9
2015-02-28,"2,104.50",0.11,0.0,2.706369582,96.4
2015-03-31,"2,067.90",0.11,-0.1,2.706369582,101.3
2015-04-30,"2,085.50",0.12,-0.2,2.706369582,95.2
2015-05-31,"2,107.40",0.12,0.0,2.706369582,95.4
2015-06-30,"2,063.10",0.13,0.1,2.706369582,101.4
2015-07-31,"2,103.80",0.13,0.2,2.706369582,90.9
2015-08-31,"1,972.20",0.14,0.2,2.706369582,101.5
2015-09-30,"1,920.00",0.14,0.0,2.706369582,103.0
2015-10-31,"2,079.40",0.12,0.2,2.706369582,97.6
2015-11-30,"2,080.40",0.12,0.5,2.706369582,90.4
2015-12-31,"2,043.90",0.24,0.7,2.706369582,96.5
2016-01-31,"1,940.20",0.34,1.4,1.667472076,98.1
2016-02-29,"1,932.20",0.38,1.0,1.667472076,92.2
2016-03-31,"2,059.70",0.36,0.9,1.667472076,96.2
2016-04-30,"2,065.30",0.37,1.1,1.667472076,94.2
2016-05-31,"2,097.00",0.37,1.0,1.667472076,92.6
2016-06-30,"2,098.90",0.38,1.0,1.667472076,98.0
2016-07-31,"2,173.60",0.39,0.8,1.667472076,97.3
2016-08-31,"2,170.90",0.4,1.1,1.667472076,101.1
2016-09-30,"2,168.30",0.4,1.5,1.667472076,104.1
2016-10-31,"2,126.20",0.4,1.6,1.667472076,98.6
2016-11-30,"2,198.80",0.41,1.7,1.667472076,107.1
2016-12-31,"2,238.80",0.54,2.1,1.667472076,113.7
2017-01-31,"2,278.90",0.65,2.5,2.241921216,111.8
2017-02-28,"2,363.60",0.66,2.7,2.241921216,114.8
2017-03-31,"2,362.70",0.79,2.4,2.241921216,125.6
2017-04-30,"2,384.20",0.9,2.2,2.241921216,120.3
2017-05-31,"2,411.80",0.91,1.9,2.241921216,117.9
2017-06-30,"2,423.40",1.04,1.6,2.241921216,118.9
2017-07-31,"2,470.30",1.15,1.7,2.241921216,121.1
2017-08-31,"2,471.70",1.16,1.9,2.241921216,122.9
2017-09-30,"2,519.40",1.15,2.2,2.241921216,119.8
2017-10-31,"2,575.30",1.15,2.0,2.241921216,125.9
2017-11-30,"2,647.60",1.16,2.2,2.241921216,129.5
2017-12-31,"2,673.60",1.3,2.1,2.241921216,122.1
2018-01-31,"2,823.80",1.41,2.1,2.945384831,125.4
2018-02-28,"2,713.80",1.42,2.2,2.945384831,130.8
2018-03-31,"2,640.90",1.51,2.4,2.945384831,127.7
2018-04-30,"2,648.10",1.69,2.5,2.945384831,128.7
2018-05-31,"2,705.30",1.7,2.8,2.945384831,128.0
2018-06-30,"2,718.40",1.82,2.9,2.945384831,126.4
2018-07-31,"2,816.30",1.91,2.9,2.945384831,127.4
2018-08-31,"2,901.50",1.91,2.7,2.945384831,133.4
2018-09-30,"2,914.00",1.95,2.3,2.945384831,138.4
2018-10-31,"2,711.70",2.19,2.5,2.945384831,137.9
2018-11-30,"2,760.20",2.2,2.2,2.945384831,135.7
2018-12-31,"2,506.80",2.27,1.9,2.945384831,128.1
2019-01-31,"2,704.10",2.4,1.6,2.294439078,120.2
2019-02-28,"2,784.50",2.4,1.5,2.294439078,131.4
2019-03-31,"2,834.40",2.41,1.9,2.294439078,125.1
2019-04-30,"2,945.80",2.42,2.0,2.294439078,129.2
2019-05-31,"2,752.10",2.39,1.8,2.294439078,134.1
2019-06-30,"2,941.80",2.38,1.6,2.294439078,121.5
2019-07-31,"2,980.40",2.4,1.8,2.294439078,135.7
2019-08-31,"2,926.50",2.13,1.7,2.294439078,135.1
2019-09-30,"2,976.70",2.04,1.7,2.294439078,125.1
2019-10-31,"3,037.60",1.83,1.8,2.294439078,125.9
2019-11-30,"3,141.00",1.55,2.1,2.294439078,125.5
2019-12-31,"3,230.80",1.55,2.3,2.294439078,126.5
2020-01-31,"3,225.50",1.55,2.5,-2.767802511,131.6
2020-02-29,"2,954.20",1.58,2.3,-2.767802511,130.7
2020-03-31,"2,584.60",0.65,1.5,-2.767802511,120.0
2020-04-30,"2,912.40",0.05,0.3,-2.767802511,96.9
2020-05-31,"3,044.30",0.05,0.1,-2.767802511,86.6
2020-06-30,"3,100.30",0.08,0.6,-2.767802511,98.1
2020-07-31,"3,271.10",0.09,1.0,-2.767802511,92.6
2020-08-31,"3,500.30",0.1,1.3,-2.767802511,84.8
2020-09-30,"3,363.00",0.09,1.4,-2.767802511,101.8
2020-10-31,"3,270.00",0.09,1.2,-2.767802511,100.9
2020-11-30,"3,621.60",0.09,1.2,-2.767802511,96.1
2020-12-31,"3,756.10",0.09,1.4,-2.767802511,88.6
2021-01-31,"3,714.20",0.09,1.4,5.945484761,89.3
2021-02-28,"3,811.20",0.08,1.7,5.945484761,91.3
2021-03-31,"3,972.90",0.07,2.6,5.945484761,109.7
2021-04-30,"4,181.20",0.07,4.2,5.945484761,121.7
2021-05-31,"4,204.10",0.06,5.0,5.945484761,117.2
2021-06-30,"4,297.50",0.08,5.4,5.945484761,127.3
2021-07-31,"4,395.30",0.1,5.4,5.945484761,129.1
2021-08-31,"4,522.70",0.09,5.3,5.945484761,113.8
2021-09-30,"4,307.50",0.08,5.4,5.945484761,109.3
2021-10-31,"4,605.40",0.08,6.2,5.945484761,113.8
2021-11-30,"4,567.00",0.08,6.8,5.945484761,109.5
2021-12-31,"4,766.20",0.08,7.0,5.945484761,115.8
